playerId,season,name,team,position,games_played,icetime,p/60,p/60_rank,p/60_rank_norm,goals,goals_rank,goals_rank_norm,assists,assists_rank,assists_rank_norm,xg,xg_rank,xg_rank_norm,corsi_for_pct,corsi_rank,corsi_rank_norm,high_danger_shots,hds_rank,hds_rank_norm
8482768,2024,Fedor Svechkov,NSH,C,52,34472.0,1.0443258296588536,359,15.566037735849065,5.0,331,22.169811320754718,1.0,406,4.481132075471706,5.81,356,16.273584905660385,0.5,191,55.18867924528302,7.0,311,26.886792452830193
8480078,2024,Filip Chytil,VAN,C,56,43628.0,1.485284679563583,225,47.16981132075472,11.0,168,60.613207547169814,3.0,349,17.924528301886795,12.31,152,64.38679245283019,0.51,153,64.15094339622641,14.0,144,66.27358490566039
8476887,2024,Filip Forsberg,NSH,L,82,70206.0,2.102384411588753,58,86.55660377358491,17.0,51,88.20754716981132,13.0,62,85.61320754716981,18.14,13,97.16981132075472,0.51,154,63.91509433962264,16.0,94,78.06603773584905
8483493,2024,Frank Nazar,CHI,C,53,41739.0,1.4662545820455688,230,45.99056603773585,7.0,277,34.90566037735849,6.0,253,40.56603773584906,9.73,240,43.632075471698116,0.43,400,5.896226415094347,11.0,215,49.528301886792455
8478366,2024,Frank Vatrano,ANA,R,81,65239.0,1.710633210196355,140,67.21698113207547,14.0,94,78.06603773584905,4.0,315,25.943396226415103,16.99,32,92.68867924528303,0.48,277,34.90566037735849,18.0,56,87.02830188679245
8477919,2024,Frederick Gaudreau,MIN,C,82,60844.0,1.3608572743409375,265,37.735849056603776,10.0,199,53.301886792452834,9.0,162,62.028301886792455,7.31,311,26.886792452830193,0.45,366,13.915094339622641,3.0,395,7.075471698113205
8480014,2024,Gabriel Vilardi,WPG,C,71,63283.0,1.8772814183904047,103,75.9433962264151,13.0,115,73.11320754716981,12.0,90,79.00943396226415,12.96,122,71.4622641509434,0.48,278,34.66981132075472,17.0,75,82.54716981132076
8482201,2024,Gage Goncalves,TBL,C,60,43828.0,1.478506890572237,229,46.22641509433962,7.0,278,34.66981132075472,7.0,221,48.113207547169814,6.36,345,18.867924528301884,0.49,235,44.81132075471698,6.0,335,21.22641509433963
8477903,2024,Garnet Hathaway,PHI,R,67,41270.0,1.5701478071238186,194,54.4811320754717,8.0,236,44.57547169811321,4.0,316,25.70754716981132,8.34,286,32.783018867924525,0.45,367,13.679245283018872,10.0,240,43.632075471698116
8474679,2024,Gustav Nyquist,MIN,R,79,61464.0,0.8199921905505662,395,7.075471698113205,3.0,379,10.84905660377359,5.0,285,33.01886792452831,8.04,296,30.424528301886795,0.52,111,74.05660377358491,6.0,336,20.990566037735846
8477392,2024,Hudson Fasching,NYI,R,43,27903.0,0.5160735404795184,418,1.650943396226424,2.0,398,6.367924528301884,1.0,407,4.245283018867923,5.4,363,14.622641509433961,0.54,56,87.02830188679245,4.0,382,10.14150943396227
8481624,2024,Ilya Mikheyev,CHI,R,80,63553.0,1.529432127515617,210,50.70754716981132,14.0,95,77.83018867924528,6.0,254,40.33018867924528,12.95,124,70.99056603773585,0.47,315,25.943396226415103,16.0,95,77.83018867924528
8480806,2024,Isac Lundestrom,ANA,C,79,50030.0,0.5756546072356585,417,1.8867924528301927,3.0,380,10.613207547169822,3.0,350,17.688679245283026,6.51,341,19.811320754716988,0.42,411,3.3018867924528337,7.0,312,26.650943396226424
8477964,2024,Ivan Barbashev,VGK,C,70,64523.0,2.3991444911116964,20,95.51886792452831,18.0,43,90.09433962264151,18.0,20,95.51886792452831,14.6,75,82.54716981132076,0.5,192,54.95283018867925,15.0,119,72.16981132075472
8483930,2024,Ivan Ivan,COL,C,40,20951.0,0.8591475347238795,389,8.490566037735846,3.0,381,10.377358490566039,0.0,422,0.7075471698113205,3.47,405,4.716981132075475,0.52,112,73.82075471698113,4.0,383,9.905660377358501
8477456,2024,J.T. Compher,DET,L,76,59557.0,1.3902647883540138,252,40.801886792452834,6.0,304,28.537735849056602,9.0,163,61.79245283018868,10.51,215,49.528301886792455,0.44,387,8.962264150943398,13.0,163,61.79245283018868
8476468,2024,J.T. Miller,NYR,C,72,57625.0,2.2490238611713664,39,91.0377358490566,11.0,169,60.37735849056604,16.0,31,92.9245283018868,11.3,191,55.18867924528302,0.5,193,54.716981132075475,13.0,164,61.556603773584904
8482175,2024,JJ Peterka,BUF,R,77,65291.0,2.3157862492533425,29,93.39622641509433,18.0,44,89.85849056603773,13.0,63,85.37735849056604,11.2,195,54.24528301886792,0.49,236,44.57547169811321,11.0,216,49.29245283018868
8480835,2024,Jack Drury,COL,C,72,45632.0,1.1044880785413744,342,19.575471698113205,6.0,305,28.301886792452834,3.0,351,17.452830188679243,7.63,305,28.301886792452834,0.57,26,94.10377358490567,5.0,356,16.273584905660385
8478403,2024,Jack Eichel,VGK,C,77,70132.0,2.412593395311698,19,95.75471698113208,20.0,30,93.16037735849056,13.0,64,85.14150943396227,14.95,67,84.43396226415095,0.51,155,63.67924528301887,15.0,120,71.93396226415095
8481559,2024,Jack Hughes,NJD,C,62,58229.0,2.0402205086812413,71,83.49056603773585,16.0,64,85.14150943396227,13.0,65,84.90566037735849,14.71,73,83.01886792452831,0.55,39,91.0377358490566,13.0,165,61.320754716981135
8480855,2024,Jack McBain,UTA,C,82,57087.0,1.4504177833832572,238,44.10377358490566,11.0,170,60.14150943396226,7.0,222,47.87735849056604,10.2,230,45.99056603773585,0.51,156,63.443396226415096,8.0,289,32.075471698113205
8482097,2024,Jack Quinn,BUF,R,74,53744.0,1.6076213158678176,181,57.54716981132076,11.0,171,59.905660377358494,6.0,255,40.09433962264151,8.0,300,29.481132075471706,0.48,279,34.43396226415095,2.0,410,3.5377358490566024
8478458,2024,Jack Roslovic,CAR,C,81,58615.0,2.0882026784952656,61,85.84905660377359,19.0,35,91.98113207547169,8.0,189,55.66037735849057,12.59,136,68.16037735849056,0.57,27,93.86792452830188,12.0,186,56.36792452830189
8482809,2024,Jackson Blake,CAR,R,80,55194.0,1.6958365039678225,145,66.0377358490566,12.0,138,67.68867924528303,10.0,136,68.16037735849056,15.39,64,85.14150943396227,0.61,1,100.0,20.0,33,92.45283018867924
8475768,2024,Jaden Schwartz,SEA,C,81,70546.0,1.6840075978793978,152,64.38679245283019,17.0,52,87.97169811320755,8.0,190,55.424528301886795,15.45,62,85.61320754716981,0.5,194,54.4811320754717,11.0,217,49.05660377358491
8478498,2024,Jake DeBrusk,VAN,L,82,65484.0,1.3743815283122593,257,39.62264150943396,11.0,172,59.66981132075472,5.0,286,32.783018867924525,12.13,158,62.97169811320755,0.47,316,25.70754716981132,16.0,96,77.59433962264151
8478133,2024,Jake Evans,MTL,C,82,59643.0,1.2675418741511995,294,30.896226415094347,7.0,279,34.43396226415095,11.0,117,72.64150943396227,8.7,274,35.61320754716981,0.48,280,34.198113207547166,7.0,313,26.41509433962264
8477404,2024,Jake Guentzel,TBL,C,80,73961.0,1.9956463541596248,78,81.83962264150944,19.0,36,91.74528301886792,11.0,118,72.40566037735849,17.64,23,94.81132075471699,0.51,157,63.20754716981132,18.0,57,86.79245283018868
8482089,2024,Jake Neighbours,STL,L,82,64359.0,1.7340232135365683,133,68.86792452830188,14.0,96,77.59433962264151,12.0,91,78.77358490566039,12.46,143,66.50943396226415,0.47,317,25.47169811320755,19.0,39,91.0377358490566
8481592,2024,Jakob Pelletier,PHI,L,49,31077.0,2.2009846510280915,47,89.15094339622641,7.0,280,34.198113207547166,5.0,287,32.54716981132076,6.57,336,20.990566037735846,0.51,158,62.97169811320755,12.0,187,56.132075471698116
8480880,2024,Jakub Lauko,BOS,C,56,32717.0,0.8802763089525324,387,8.962264150943398,3.0,382,10.14150943396227,2.0,383,9.905660377358501,3.72,399,6.132075471698116,0.4,424,0.23584905660378297,3.0,396,6.839622641509436
8477944,2024,Jakub Vrana,NSH,L,39,22415.0,1.6060673656033906,184,56.839622641509436,5.0,332,21.93396226415095,3.0,352,17.216981132075475,3.41,410,3.5377358490566024,0.45,368,13.443396226415103,2.0,411,3.3018867924528337
8474037,2024,James van Riemsdyk,CBJ,L,71,48244.0,2.3878617030097007,21,95.28301886792453,13.0,116,72.87735849056604,10.0,137,67.9245283018868,11.36,187,56.132075471698116,0.49,237,44.339622641509436,14.0,145,66.0377358490566
8473994,2024,Jamie Benn,DAL,L,80,56476.0,2.4222678659961754,18,95.99056603773585,15.0,81,81.13207547169812,14.0,48,88.91509433962264,12.89,127,70.28301886792453,0.47,318,25.235849056603783,13.0,166,61.08490566037736
